UNIVERSIDAD,TIPO DE GESTIÓN,Dim Sexo.Desc Sexo,Cant Estudiantes
UNIVERSIDAD NACIONAL DE JAÉN,PUBLICO,MASCULINO,109
UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.,PRIVADA SOCIETARIA,FEMENINO,323
UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.,PRIVADA SOCIETARIA,MASCULINO,36
UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.,PRIVADA SOCIETARIA,FEMENINO,252
UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.,PRIVADA SOCIETARIA,MASCULINO,88
ASOCIACIÓN CIVIL UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI,PRIVADA ASOCIATIVA,FEMENINO,276
ASOCIACIÓN CIVIL UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI,PRIVADA ASOCIATIVA,MASCULINO,54
UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.,PRIVADA SOCIETARIA,FEMENINO,224
UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.,PRIVADA SOCIETARIA,MASCULINO,97
UNIVERSIDAD ANTONIO RUÍZ DE MONTOYA,PRIVADA ASOCIATIVA,FEMENINO,204
UNIVERSIDAD ANTONIO RUÍZ DE MONTOYA,PRIVADA ASOCIATIVA,MASCULINO,88
UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.,PRIVADA SOCIETARIA,FEMENINO,273
UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.,PRIVADA SOCIETARIA,MASCULINO,19
UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN,PRIVADA ASOCIATIVA,FEMENINO,288
UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA,PUBLICO,FEMENINO,204
UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA,PUBLICO,MASCULINO,56
UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS,PUBLICO,FEMENINO,204
UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS,PUBLICO,MASCULINO,52
GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.,PRIVADA SOCIETARIA,FEMENINO,213
GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.,PRIVADA SOCIETARIA,MASCULINO,21
UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE,PUBLICO,FEMENINO,163
UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE,PUBLICO,MASCULINO,58
UNIVERSIDAD PERUANA DEL CENTRO,PRIVADA ASOCIATIVA,FEMENINO,141
UNIVERSIDAD PERUANA DEL CENTRO,PRIVADA ASOCIATIVA,MASCULINO,26
UNIVERSIDAD LATINOAMERICANA CIMA SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,FEMENINO,77
UNIVERSIDAD LATINOAMERICANA CIMA SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,MASCULINO,73
UNIVERSIDAD PRIVADA DE LA SELVA PERUANA,PRIVADA SOCIETARIA,FEMENINO,125
UNIVERSIDAD PRIVADA DE LA SELVA PERUANA,PRIVADA SOCIETARIA,MASCULINO,15
UNIVERSIDAD LE CORDON BLEU S.A.C.,PRIVADA SOCIETARIA,FEMENINO,80
UNIVERSIDAD LE CORDON BLEU S.A.C.,PRIVADA SOCIETARIA,MASCULINO,43
UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.,PRIVADA SOCIETARIA,FEMENINO,28
UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.,PRIVADA SOCIETARIA,MASCULINO,55
UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.,PRIVADA SOCIETARIA,FEMENINO,38
UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.,PRIVADA SOCIETARIA,MASCULINO,31
